support,itemsets
0.48412106666666666,电子产品
0.4873624888888889,服装
0.2510300888888889,家居
0.1367648,办公
0.4846031111111111,食品
0.13304564444444444,运动户外
0.13480791111111112,母婴
0.13121153333333332,汽车用品
0.20029455555555556,玩具
0.22116884444444446,"电子产品,食品"
0.2224399111111111,"电子产品,服装"
0.09896693333333334,"电子产品,服装,食品"
0.11345631111111111,"食品,家居"
0.11417433333333334,"服装,家居"
0.11336968888888889,"电子产品,家居"
0.049478822222222225,"服装,食品,家居"
0.04946606666666667,"电子产品,服装,家居"
0.0491184,"电子产品,食品,家居"
0.031371977777777775,"办公,家居"
0.06191888888888889,"服装,办公"
0.024886822222222223,"办公,玩具"
0.06151533333333333,"办公,食品"
0.0615076,"电子产品,办公"
0.026566733333333332,"服装,办公,食品"
0.0265654,"电子产品,服装,办公"
0.02638626666666667,"电子产品,办公,食品"
0.222691,"服装,食品"
0.059826533333333334,"运动户外,食品"
0.030454377777777777,"运动户外,家居"
0.0601836,"运动户外,服装"
0.02425031111111111,"运动户外,玩具"
0.05976324444444445,"电子产品,运动户外"
0.025801866666666666,"运动户外,服装,食品"
0.025613666666666667,"电子产品,运动户外,食品"
0.025782822222222224,"电子产品,服装,运动户外"
0.0610008,"服装,母婴"
0.06064875555555556,"母婴,食品"
0.0308526,"母婴,家居"
0.024559844444444444,"玩具,母婴"
0.060595444444444445,"电子产品,母婴"
0.02616628888888889,"服装,母婴,食品"
0.0259694,"电子产品,母婴,食品"
0.026143177777777776,"电子产品,服装,母婴"
0.0300794,"汽车用品,家居"
0.0590658,"汽车用品,食品"
0.059346355555555556,"服装,汽车用品"
0.05891077777777778,"电子产品,汽车用品"
0.023889533333333334,"玩具,汽车用品"
0.025472822222222222,"服装,汽车用品,食品"
0.025397933333333334,"电子产品,服装,汽车用品"
0.025294266666666666,"电子产品,汽车用品,食品"
0.09086446666666667,"服装,玩具"
0.09026644444444444,"电子产品,玩具"
0.09034282222222222,"玩具,食品"
0.046066555555555555,"玩具,家居"
0.03919355555555556,"电子产品,服装,玩具"
0.03896104444444445,"电子产品,玩具,食品"
0.03922548888888889,"服装,玩具,食品"
